,Open,High,Low,Close,Volume
2025-10-08,3349.1,3401.58,3295.66,3348.12,2098262
2025-10-09,3257.59,3308.9,3206.8,3258.1,770889
2025-10-10,3180.52,3241.43,3130.65,3191.39,4109947
2025-10-13,3211.06,3242.73,3171.18,3202.77,667150
2025-10-14,3249.07,3302.93,3185.73,3239.43,3146916
2025-10-15,3258.08,3285.74,3214.8,3242.32,2318985
2025-10-16,3307.7,3341.71,3244.23,3277.93,3982254
2025-10-17,3336.94,3367.82,3285.41,3316.1,1400781
2025-10-20,3332.64,3388.69,3301.08,3356.9,3974186
2025-10-21,3349.5,3439.76,3276.3,3366.2,1052113
2025-10-22,3306.86,3352.29,3243.78,3288.97,2672987
2025-10-23,3391.42,3458.44,3334.84,3401.69,902346
2025-10-24,3399.46,3471.09,3321.37,3392.86,650304
2025-10-27,3481.92,3569.28,3415.36,3502.33,1239281
2025-10-28,3600.73,3652.32,3562.0,3613.46,1324203
2025-10-29,3550.87,3604.51,3510.44,3563.93,2585494
2025-10-30,3614.67,3655.55,3573.43,3614.3,341121
2025-10-31,3704.6,3773.98,3618.65,3687.71,3536399
2025-11-03,3699.58,3740.89,3629.71,3670.7,599413
2025-11-04,3626.88,3675.45,3573.86,3622.37,373859
2025-11-05,3668.17,3710.42,3620.55,3662.74,3469280
2025-11-06,3694.28,3749.68,3649.37,3704.65,964366
2025-11-07,3584.49,3620.04,3541.91,3577.39,718409
2025-11-10,3574.97,3653.38,3500.6,3578.93,2904719
2025-11-11,3653.99,3720.52,3558.09,3624.08,2677068
2025-11-12,3621.48,3676.23,3576.87,3631.5,1172989
2025-11-13,3604.86,3662.35,3561.78,3619.09,695457
2025-11-14,3548.5,3592.51,3510.83,3554.78,2604113
2025-11-17,3481.03,3552.82,3396.38,3467.89,3540724
2025-11-18,3473.7,3546.46,3380.4,3452.72,1078641
2025-11-19,3423.44,3454.96,3384.56,3416.01,1474265
2025-11-20,3431.09,3481.85,3379.0,3429.74,4010904
2025-11-21,3479.31,3547.76,3448.56,3516.68,2695669
2025-11-24,3542.72,3607.61,3463.6,3528.23,2603123
2025-11-25,3472.74,3538.67,3423.72,3489.42,3372165
2025-11-26,3459.44,3502.9,3431.33,3474.67,3810931
2025-11-27,3403.13,3438.46,3365.19,3400.49,1828869
2025-11-28,3344.74,3411.4,3306.38,3372.72,2751167
2025-12-01,3358.52,3399.11,3322.53,3363.07,3986875
2025-12-02,3384.87,3417.46,3334.12,3366.54,4188331
2025-12-03,3258.66,3316.63,3200.47,3258.43,2554340
2025-12-04,3311.74,3344.04,3281.1,3313.39,3117629
2025-12-05,3302.56,3359.46,3254.34,3311.11,392998
2025-12-08,3348.99,3425.15,3285.85,3361.77,4318383
2025-12-09,3424.31,3503.92,3352.55,3432.0,3604841
2025-12-10,3389.08,3467.4,3316.79,3394.99,2070812
2025-12-11,3343.37,3394.45,3279.68,3330.57,4200202
2025-12-12,3401.24,3429.64,3351.07,3379.29,3148854
2025-12-15,3342.04,3406.29,3295.82,3359.83,2365629
2025-12-16,3436.85,3483.8,3408.84,3455.64,3865841
2025-12-17,3625.89,3700.93,3552.79,3627.8,2752114
2025-12-18,3568.97,3634.67,3508.42,3574.03,2006699
2025-12-19,3480.22,3550.01,3384.46,3453.72,3745824
2025-12-22,3559.14,3610.79,3498.45,3549.97,3629811
2025-12-23,3606.52,3648.52,3572.33,3614.26,2820506
2025-12-24,3657.08,3721.38,3600.55,3664.73,2991006
2025-12-25,3649.19,3678.94,3596.48,3626.04,999951
2025-12-26,3715.28,3797.25,3635.98,3717.9,4336741
2025-12-29,3785.74,3818.29,3721.42,3753.69,2528622
2025-12-30,3792.2,3823.16,3750.91,3781.79,2467302
2025-12-31,3821.78,3878.27,3751.27,3807.55,441962
2026-01-01,3777.17,3823.71,3741.27,3787.71,2944845
2026-01-02,3834.36,3911.75,3724.21,3800.93,4265914
2026-01-05,3847.64,3879.1,3791.31,3822.57,2555865
2026-01-06,3748.0,3830.19,3685.35,3767.22,1531608
2026-01-07,3817.21,3853.42,3756.46,3792.44,753196
2026-01-08,3843.46,3875.44,3794.64,3826.48,4494516
2026-01-09,3869.76,3958.68,3790.14,3878.87,3876063
2026-01-12,3882.15,3937.78,3828.22,3883.82,1537883
2026-01-13,3855.02,3911.1,3797.79,3853.86,4020089
2026-01-14,3921.45,3967.84,3851.39,3897.5,490622
2026-01-15,3881.29,3970.89,3814.02,3903.24,498762
2026-01-16,3891.25,3943.01,3828.16,3879.77,1821824
2026-01-19,4005.13,4039.96,3945.79,3980.4,2861553
2026-01-20,4098.82,4187.01,4039.23,4127.01,2514702
2026-01-21,4209.95,4311.76,4130.3,4231.7,3028029
2026-01-22,4284.72,4383.56,4209.13,4307.57,294638
2026-01-23,4307.55,4400.05,4232.31,4324.52,2880378
2026-01-26,4272.99,4380.09,4198.36,4304.9,1221404
2026-01-27,4281.43,4355.39,4219.99,4293.77,1979818
2026-01-28,4304.12,4349.21,4241.88,4286.79,1568101
2026-01-29,4187.82,4231.66,4116.98,4160.54,1954615
2026-01-30,4188.64,4279.79,4077.41,4168.11,1345773
2026-02-02,4164.61,4240.57,4076.48,4152.21,2878838
2026-02-03,4161.81,4250.16,4034.38,4121.88,4488574
2026-02-04,3997.18,4048.87,3950.31,4001.95,2420163
2026-02-05,3994.19,4091.17,3908.42,4005.16,2003144
2026-02-06,3990.38,4073.33,3916.48,3999.27,1484176
2026-02-09,4072.44,4123.42,4003.0,4053.75,4256834
2026-02-10,4050.56,4105.59,4014.41,4069.28,2971768
2026-02-11,4054.6,4117.19,4008.97,4071.37,3762280
2026-02-12,4048.56,4149.63,3965.03,4065.74,1879424
2026-02-13,4110.43,4171.14,4048.18,4108.87,2984787
2026-02-16,4183.43,4289.29,4092.31,4197.85,449400
2026-02-17,4278.63,4323.91,4216.89,4261.99,1391928
2026-02-18,4222.55,4319.24,4130.18,4226.78,4453798
2026-02-19,4225.25,4304.36,4187.48,4266.22,940836
2026-02-20,4279.45,4337.12,4169.72,4226.68,1109533
2026-02-23,4264.16,4316.05,4210.12,4261.99,3791758
2026-02-24,4358.9,4412.97,4275.96,4329.66,2092588
2026-02-25,4390.52,4496.54,4302.35,4408.02,804830
2026-02-26,4398.11,4442.3,4358.42,4402.57,443234
2026-02-27,4503.75,4587.6,4406.6,4490.2,2270104
2026-03-02,4572.06,4622.96,4501.64,4552.32,3777926
2026-03-03,4431.26,4528.82,4338.28,4435.75,1761318
2026-03-04,4413.43,4475.75,4354.03,4416.32,805113
2026-03-05,4495.47,4588.51,4390.27,4483.05,3303115
2026-03-06,4373.44,4469.15,4306.67,4401.94,4179572
2026-03-09,4538.81,4637.57,4450.07,4548.63,3418724
2026-03-10,4404.44,4500.53,4305.69,4401.72,2681389
2026-03-11,4429.04,4480.41,4332.8,4383.65,3802509
2026-03-12,4446.85,4487.79,4407.57,4448.5,3846576
2026-03-13,4516.13,4590.76,4433.72,4508.22,826448
2026-03-16,4501.21,4554.12,4442.12,4494.96,4116530
2026-03-17,4404.02,4469.86,4320.9,4386.48,3359451
2026-03-18,4302.18,4340.77,4256.2,4294.72,4093243
2026-03-19,4238.14,4280.64,4178.57,4220.89,3587566
2026-03-20,4047.38,4142.09,3984.24,4078.46,3006654
2026-03-23,4145.41,4182.72,4110.68,4147.97,2737529
2026-03-24,4222.22,4279.6,4145.78,4202.9,1794885
2026-03-25,4119.21,4203.27,4049.32,4133.14,603887
2026-03-26,4148.17,4228.14,4076.41,4156.24,354241
2026-03-27,4198.09,4241.3,4154.53,4197.74,2907382
2026-03-30,4276.1,4361.67,4189.08,4274.62,3564794
2026-03-31,4570.5,4624.78,4483.65,4537.54,2690268
2026-04-01,4588.36,4663.0,4501.0,4575.43,1137104
2026-04-02,4653.72,4702.64,4577.39,4626.02,309494
2026-04-03,4746.33,4818.44,4669.9,4741.94,767694
2026-04-06,4682.97,4790.69,4606.9,4714.11,376110
2026-04-07,4761.67,4830.34,4672.43,4740.8,2728449
2026-04-08,4528.5,4612.71,4414.37,4498.01,2813225
2026-04-09,4586.65,4677.18,4443.2,4532.66,2580491
2026-04-10,4506.92,4602.7,4417.84,4513.49,2705336
2026-04-13,4625.16,4695.73,4558.0,4628.52,3983117
2026-04-14,4631.37,4710.21,4569.13,4647.75,4134608
2026-04-15,4657.94,4789.09,4579.85,4710.12,515283
2026-04-16,4620.87,4735.73,4543.02,4657.27,1738680
2026-04-17,4743.82,4798.2,4687.71,4742.07,1061554
2026-04-20,4818.47,4868.14,4733.01,4782.31,1958556
2026-04-21,4801.03,4858.71,4727.22,4784.7,1148734
2026-04-22,4720.83,4799.06,4617.5,4695.31,1591197
2026-04-23,4691.44,4743.63,4639.44,4691.63,1217271
2026-04-24,4800.09,4875.83,4707.87,4783.35,1989244
2026-04-27,4998.0,5097.68,4930.51,5029.76,1379615
2026-04-28,4884.81,4926.92,4835.43,4877.47,2108726
2026-04-29,4800.92,4919.96,4702.47,4821.09,1227833
2026-04-30,4820.89,4868.87,4771.3,4819.27,481992
2026-05-01,4755.76,4848.06,4639.37,4731.19,411154
2026-05-04,4821.42,4887.13,4741.9,4807.42,2396039
2026-05-05,4921.08,4973.62,4868.84,4921.37,763336
2026-05-06,4919.85,5026.05,4808.84,4914.94,2327846
2026-05-07,4795.15,4834.2,4708.62,4747.28,4230874
2026-05-08,4821.2,4915.73,4696.68,4790.62,4378425
2026-05-11,4786.72,4838.18,4720.1,4771.4,1920308
2026-05-12,4817.56,4890.28,4756.15,4828.73,2163976
2026-05-13,4798.14,4858.14,4737.58,4797.57,3803094
2026-05-14,4785.4,4886.04,4690.34,4790.88,3916541
2026-05-15,4862.99,4954.45,4776.31,4867.69,585100
2026-05-18,4861.65,4955.07,4762.82,4856.14,1476944
2026-05-19,5054.12,5160.34,4946.82,5053.02,2676024
2026-05-20,5069.63,5175.84,4962.41,5068.6,3572768
2026-05-21,5275.52,5383.29,5179.64,5287.2,3266808
2026-05-22,5284.61,5331.34,5203.58,5250.0,3867998
2026-05-25,5351.76,5405.65,5307.92,5361.72,269000
2026-05-26,5376.75,5457.66,5264.65,5345.08,3393348
2026-05-27,5372.17,5482.37,5259.37,5369.51,2510274
2026-05-28,5267.77,5332.03,5191.8,5255.91,3563208
