,Open,High,Low,Close,Volume
2025-10-08,324.04,331.12,316.71,323.79,1298527
2025-10-09,323.76,327.95,318.0,322.17,1904631
2025-10-10,323.09,330.14,317.97,324.99,4367719
2025-10-13,332.48,338.04,326.62,332.17,3157408
2025-10-14,327.99,332.44,322.32,326.75,916275
2025-10-15,332.82,339.3,325.02,331.47,953027
2025-10-16,330.23,333.32,327.37,330.46,1035135
2025-10-17,327.61,331.64,321.79,325.8,4454726
2025-10-20,327.65,331.93,321.44,325.69,4150252
2025-10-21,326.43,330.71,321.39,325.66,1032261
2025-10-22,325.09,331.8,318.77,325.47,1386800
2025-10-23,331.27,337.2,325.03,330.95,3400868
2025-10-24,332.94,338.96,328.15,334.15,3603268
2025-10-27,346.71,354.85,340.08,348.19,1162543
2025-10-28,342.29,352.51,335.97,346.12,2814128
2025-10-29,354.8,362.6,345.52,353.29,3586816
2025-10-30,353.62,360.56,350.5,357.41,1067509
2025-10-31,353.43,360.25,348.33,355.13,297812
2025-11-03,350.83,355.34,345.59,350.09,3447408
2025-11-04,353.18,360.27,344.82,351.88,4321235
2025-11-05,357.92,361.91,352.96,356.94,3210767
2025-11-06,347.5,352.05,344.48,349.02,4400297
2025-11-07,357.25,363.21,350.29,356.23,2618524
2025-11-10,347.88,351.81,342.63,346.55,2016228
2025-11-11,349.95,356.39,345.17,351.59,2698654
2025-11-12,347.46,353.2,340.86,346.59,501424
2025-11-13,347.22,354.22,340.13,347.13,4265847
2025-11-14,340.06,346.43,335.7,342.05,3610875
2025-11-17,344.27,349.33,338.47,343.51,883675
2025-11-18,343.18,347.28,339.13,343.23,3354178
2025-11-19,339.53,344.0,334.24,338.7,689322
2025-11-20,334.57,342.72,327.89,336.02,1107791
2025-11-21,332.68,340.26,326.7,334.25,2855331
2025-11-24,327.66,335.7,323.37,331.36,3446723
2025-11-25,324.35,329.9,315.43,320.93,1673783
2025-11-26,321.96,325.09,317.73,320.85,1818104
2025-11-27,324.12,327.04,319.72,322.62,386140
2025-11-28,329.18,333.59,324.64,329.05,2810480
2025-12-01,325.82,332.46,318.38,325.0,2757060
2025-12-02,322.69,329.3,317.2,323.79,3790321
2025-12-03,324.0,331.68,316.98,324.65,2849486
2025-12-04,322.97,329.47,315.89,322.38,3512748
2025-12-05,324.75,332.48,319.65,327.34,3789617
2025-12-08,321.56,328.24,315.25,321.92,342258
2025-12-09,320.93,327.12,316.55,322.72,850598
2025-12-10,325.18,331.73,318.12,324.66,518751
2025-12-11,323.02,326.86,317.76,321.58,638173
2025-12-12,325.28,328.78,320.9,324.39,3525922
2025-12-15,327.27,330.62,322.76,326.1,4240321
2025-12-16,324.87,328.26,319.35,322.72,4456925
2025-12-17,329.3,333.74,325.4,329.84,1688654
2025-12-18,330.23,336.33,324.25,330.35,2481809
2025-12-19,331.11,334.26,326.39,329.52,3896209
2025-12-22,321.42,326.82,313.51,318.87,1937813
2025-12-23,326.73,333.35,320.32,326.94,2889643
2025-12-24,324.9,329.93,319.88,324.91,3541498
2025-12-25,332.65,339.32,326.22,332.88,4408527
2025-12-26,335.37,341.37,331.41,337.39,2545007
2025-12-29,339.98,345.3,333.63,338.93,1796917
2025-12-30,341.64,345.87,336.56,340.78,4050683
2025-12-31,329.32,333.29,324.74,328.71,3809513
2026-01-01,328.11,332.98,323.05,327.92,2264303
2026-01-02,334.67,340.79,328.16,334.27,883276
2026-01-05,343.16,347.42,337.95,342.2,4367779
2026-01-06,333.01,339.06,326.64,332.69,774809
2026-01-07,355.26,361.85,346.7,353.25,4455217
2026-01-08,347.84,351.73,344.45,348.33,3365437
2026-01-09,344.99,348.52,340.36,343.88,3945545
2026-01-12,353.31,356.5,347.58,350.75,3584062
2026-01-13,354.74,360.79,347.05,353.08,1393883
