,Open,High,Low,Close,Volume
2025-10-08,2440.08,2472.71,2402.82,2435.38,4172944
2025-10-09,2504.28,2557.48,2438.52,2491.44,2491836
2025-10-10,2487.56,2532.47,2458.74,2503.46,2552115
2025-10-13,2492.72,2541.32,2458.2,2506.61,1898621
2025-10-14,2473.87,2528.09,2408.25,2462.21,3307305
2025-10-15,2443.77,2485.08,2422.95,2464.09,685697
2025-10-16,2373.6,2423.57,2336.22,2385.99,1947635
2025-10-17,2380.83,2411.6,2352.16,2382.9,673340
2025-10-20,2354.04,2410.36,2313.79,2369.84,256122
2025-10-21,2328.18,2361.68,2306.21,2339.6,921782
2025-10-22,2303.84,2331.35,2280.05,2307.52,379189
2025-10-23,2334.62,2377.77,2294.14,2337.24,1046249
2025-10-24,2379.25,2432.65,2338.68,2391.87,3257996
2025-10-27,2331.38,2377.44,2284.44,2330.48,1945950
2025-10-28,2255.17,2297.32,2229.46,2271.42,3798152
2025-10-29,2257.82,2304.99,2218.52,2265.56,881051
2025-10-30,2238.16,2286.58,2182.82,2231.08,1165670
2025-10-31,2257.12,2289.7,2214.91,2247.35,1083130
2025-11-03,2266.91,2319.21,2230.52,2282.57,1693156
2025-11-04,2291.01,2336.45,2248.7,2294.08,3718524
2025-11-05,2367.21,2398.34,2318.13,2349.02,4478534
2025-11-06,2367.07,2394.41,2334.04,2361.32,4036760
2025-11-07,2416.85,2469.33,2364.41,2416.89,2232077
2025-11-10,2320.47,2377.49,2273.58,2330.4,4358621
2025-11-11,2319.18,2344.02,2298.83,2323.63,1994812
2025-11-12,2260.71,2316.1,2226.22,2281.3,1618779
2025-11-13,2241.74,2285.89,2213.94,2257.89,3342405
2025-11-14,2226.5,2266.42,2186.88,2226.8,2595811
2025-11-17,2239.72,2267.14,2207.66,2235.02,2228341
2025-11-18,2194.22,2222.54,2155.89,2184.08,1742661
2025-11-19,2144.23,2187.3,2092.17,2135.05,888145
2025-11-20,2139.1,2192.48,2101.83,2154.94,2833559
2025-11-21,2147.8,2203.19,2119.34,2174.37,1743146
2025-11-24,2153.04,2183.29,2122.48,2152.72,4400312
2025-11-25,2187.1,2230.5,2122.93,2165.91,3355217
2025-11-26,2235.05,2282.12,2191.55,2238.55,1493561
2025-11-27,2248.41,2300.28,2199.67,2251.47,880811
2025-11-28,2186.14,2207.38,2155.28,2176.42,1622302
2025-12-01,2100.64,2133.08,2069.7,2102.12,2136283
2025-12-02,2125.54,2165.74,2091.4,2131.5,1348697
2025-12-03,2126.62,2169.07,2087.82,2130.2,2390842
2025-12-04,2117.6,2145.4,2092.75,2120.52,349534
2025-12-05,2144.84,2178.31,2114.72,2148.14,3320646
2025-12-08,2185.6,2208.57,2167.28,2190.21,2349367
2025-12-09,2311.74,2332.75,2274.9,2295.76,1666674
2025-12-10,2276.81,2314.08,2241.51,2278.75,481452
2025-12-11,2282.25,2337.89,2236.26,2291.71,3890369
2025-12-12,2279.31,2330.59,2240.15,2291.22,3454949
2025-12-15,2302.0,2342.2,2262.63,2302.82,886364
2025-12-16,2310.47,2334.62,2272.33,2296.33,1992766
2025-12-17,2195.35,2243.5,2147.42,2195.57,2419936
2025-12-18,2179.54,2208.82,2154.73,2183.96,1507206
2025-12-19,2154.07,2185.89,2111.79,2143.46,4221504
2025-12-22,2141.27,2184.52,2092.78,2135.92,4059838
2025-12-23,2136.38,2171.76,2100.71,2136.09,304363
2025-12-24,2122.5,2167.42,2073.74,2118.57,2435862
2025-12-25,2080.57,2135.8,2034.82,2089.85,1984658
2025-12-26,2090.73,2124.47,2054.84,2088.54,2354383
2025-12-29,2073.16,2092.97,2045.28,2065.01,3187355
2025-12-30,2025.01,2054.72,2001.51,2031.15,2360620
2025-12-31,2084.44,2112.67,2057.66,2085.87,1138470
2026-01-01,2067.68,2110.07,2037.87,2080.08,610958
2026-01-02,2017.37,2057.16,1989.01,2028.64,1992034
2026-01-05,2030.86,2047.66,2008.71,2025.46,2804334
2026-01-06,2015.04,2059.03,1965.48,2009.35,4487524
2026-01-07,2019.49,2060.25,1971.79,2012.41,2668274
2026-01-08,1983.98,2042.54,1941.74,1999.96,2055013
2026-01-09,1970.13,1986.91,1939.83,1956.5,349193
2026-01-12,1989.17,2029.01,1950.86,1990.67,3694625
2026-01-13,1986.35,2004.02,1954.53,1972.08,3958450
2026-01-14,1928.1,1955.42,1905.74,1933.0,3974929
2026-01-15,1977.51,2024.68,1934.19,1981.28,3074739
2026-01-16,1932.92,1960.77,1898.14,1925.89,3124814
2026-01-19,1922.09,1970.04,1880.0,1927.83,1793682
2026-01-20,1943.02,1975.79,1919.36,1952.02,999334
2026-01-21,1939.08,1958.47,1916.72,1936.08,4071086
2026-01-22,1984.88,2027.45,1942.57,1985.14,1648423
2026-01-23,1997.41,2019.04,1980.5,2002.09,3303285
2026-01-26,1992.42,2025.88,1966.11,1999.48,3029225
2026-01-27,2079.98,2111.04,2038.53,2069.43,2747395
2026-01-28,2060.2,2105.01,2018.67,2063.41,3456135
2026-01-29,2051.39,2091.71,2016.24,2056.47,2919154
2026-01-30,2041.03,2085.82,1986.37,2030.94,1922395
2026-02-02,2079.04,2106.39,2056.83,2084.12,1404571
2026-02-03,2103.46,2136.18,2071.15,2103.86,4086021
2026-02-04,2076.4,2093.95,2042.89,2060.3,2823890
2026-02-05,2104.99,2140.93,2073.09,2108.97,3621266
2026-02-06,2202.97,2237.34,2167.92,2202.28,1957758
2026-02-09,2240.63,2303.26,2193.43,2255.74,1268180
2026-02-10,2300.18,2337.84,2234.1,2271.28,1032122
2026-02-11,2274.08,2308.13,2248.73,2282.69,771033
2026-02-12,2243.05,2275.2,2220.71,2252.76,3868397
2026-02-13,2221.71,2252.38,2191.65,2222.32,1151615
2026-02-16,2248.71,2292.61,2203.99,2247.87,3699950
2026-02-17,2333.58,2371.49,2278.12,2315.74,4024349
2026-02-18,2228.99,2277.93,2189.26,2238.04,1141454
2026-02-19,2247.78,2273.63,2206.83,2232.5,3869693
2026-02-20,2224.44,2259.06,2202.09,2236.59,557839
2026-02-23,2307.56,2346.82,2262.19,2301.35,1682126
2026-02-24,2274.35,2318.19,2227.67,2271.45,1141830
2026-02-25,2251.28,2287.06,2207.66,2243.31,2829782
2026-02-26,2244.82,2281.16,2219.54,2255.76,420805
2026-02-27,2238.46,2285.38,2201.25,2248.01,3428090
2026-03-02,2218.15,2265.48,2170.71,2218.04,3474857
2026-03-03,2240.82,2273.95,2198.05,2231.04,4175834
2026-03-04,2263.32,2296.11,2225.5,2258.22,1516042
2026-03-05,2282.4,2307.82,2246.6,2271.9,1346639
2026-03-06,2225.59,2277.33,2183.89,2235.45,1866569
